Start Dato,Slut Dato,Kampagnenavn,"inkl. moms eller eksl. moms?
 Indtast præcis 'inkl. moms' eller 'eksl. moms' i feltet nedenfor",Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2024-12-12 00:00:00,2024-12-23 00:00:00,Julesalg 2024 ,eksl. moms,,,,
,,,,,,,
,,,,,,,
"Ønsket placering i avis. 
Påkrævet.","Bygma varenummer. 
Påkrævet","Varens leverandør.
Valgfrit.",Påkrævet,Påkrævet,"Enhed:
Fx: begrænset antal
Fx : Pr. pk v/palle. 
Påkrævet.","skriv et 1-tal ud for den som skal være stor. 
Valgfrit. ","Her skriver du, hvis et tilbud har været vist før, så bureauet kan tjekke for billeder. SPECIELT TØJ/SKO, hvor der kun ligger 
billeder på SORT MEDIUM  / str. 42. 
Påkrævet."
Sidenr.,M3 nr.,Leverandør,Overskrift,Pris,Tekst over pris,Prio,Kommentar
1,244498,Makita,MAKITA SLAGBOREMASKINE DHP48RT3J,1496,,1,
1,264025,DeWalt,DEWALT SMIGVINKEL  18CM,76,Frit valg,,FRITVALG I MELLEM DE 2 VARENUMRE
1,264025,DeWalt,DEWALT SMIGVINKEL  18CM,76,Frit valg,,FRITVALG I MELLEM DE 2 VARENUMRE
1,233038,DeWalt,FATMAX VATERPASSÆT,696,,,
1,259081,Unimerco,TJEP KOMPRESSOR 17/15,2496,,,
2,196526,DeWalt,DEWALT VINKELSLIBER DCG405,896,Frit valg,,"FRIT VALG 896,00 BLANDT DISSE 7 MASKINER"
2,268887,DeWalt,DEWALT SLAGSKRUETRÆKKER DCF850,896,Frit valg,,
2,157743,DeWalt,DEWALT MULTICUTTER DCS355,896,Frit valg,,
2,192070,DeWalt,DEWALT BOREHAMMER DCH133 ,896,Frit valg,,
2,274541,DeWalt,DEWALT SLAGNØGLE DCF922,896,Frit valg,,
2,124959,DeWalt,DEWALT RUNDSAV DCS391,896,Frit valg,,
2,209273,DeWalt,DEWALT STIKSAV DCF335 ,896,Frit valg,,
2,280089,DeWalt,DEWALT GERINGSSAV DCS781 305 MM ,5996,Frit valg,,"INCL. BATTERIPAKKE 2X9,0 AMP & LADER  DCB118X2 "
2,188566,DeWalt,"DCB118X2 BATTERIPAKKE  2X9,0 AMP + LADER",0,,,
2,232392,DeWalt,DEWALT GERINGSSAV DCS727   250 MM ,5996,Frit valg,,"INCL. BATTERIPAKKE 2X9,0 AMP & LADER  DCB118X1"
2,184161,DeWalt,DEWALT BORDSAV DCS7485 210 MM ,5996,Frit valg,,"INCL. BATTERIPAKKE 2X9,0 AMP & LADER  DCB118X2 "
2,184155,DeWalt,"DEWALT DCB546 6,0 AMP BATTERI ",0,,,"VED KØB AF DEWALT FLEX-VOLT MASKINE DEN 19-12 MEDFØLGER 1 STK , DCB546 BATTERI U/B "
3,187818,Makita,MAKITA SLAGSKRUETRÆKKER DTD 154 ,1196,,,
3,249281,Makita,MAKITA SLAGNØGLE DTW 300 ,1196,,,
3,158265,Makita,MAKITA BOREHAMMER DHR 202 ,1196,,,
3,201023,Makita,MAKITA BAJONETSAV DJR188Z ,1196,,,
3,288942,Makita,"MAKITA BL1860 6,0 AMP BATTERI ",1196,2 stk. ,,
3,271864,Makita,MAKITA LAMPE ML003G,1196,,,PRIS INCL. 5 AMP BATTERI BL1850 
3,268764,Makita,MAKITA BATTERI BL1850 ,0,,,
3,102010,Unimerco,TJEP 28/63 RINGSØM ,496,,,"3 for 1296,00"
3,101933,Unimerco,TJEP 31/98 RINGSØM ,496,,,"3 for 1296,00"
3,101922,Unimerco,TJEP PZ16/50 KLAMMEPISTOL ,1796,,,
3,83076,Unimerco,TJEP TROMLEPISTOL MX50 ,1496,,,
3,232055,Unimerco,TJEP TROMLEPISTOLZE-65 EXCELLENT,2496,,,
3,193969,Unimerco,TJEP SØMPISTOL 34/100 EXCELLENT ,1996,,,
4,260697,BYGMA,BYGMA DASKER ,246,,,
4,117381,BYGMA,BYGMA KLAMMEPISTOL ,176,,,
4,114251,BYGMA,BYGMA DIAMANTKLINGE 125 MM ,76,,,
4,114252,BYGMA,BYGMA DIAMANTKLINGE 230 MM ,196,,,
4,114253,BYGMA,BYGMA KOPSTEN 125 MM ,246,,,
4,182885,BYGMA,BYGMA HULSAVSÆT ,796,,,
4,302951,DeWalt,DEWALT SLAGBOREMASKINE DCD100P2T,996,,,"STÆRKT BEGRÆNSET ANTAL, kun 12 stk."
